,date,Julian day,phosphate_ug,dinobryon_ROIs,dinobryon_area_log10_mm2,uroglena_ROIs,uroglena_area_log10_mm2,centric_diatom_ROIs,centric_diatom_area_log10_mm2,cryptophyceae_ROIs,cryptophyceae_area_log10_mm2,rhodomonas_ROIs,rhodomonas_area_log10_mm2,chlorophytes_ROIs,chlorophytes_area_log10_mm2,daphnia_ROIs,daphnia_area_log10_mm2,daphnia_MaL_mm,daphnia_MiL_mm,ciliates_ROIs,ciliates_area_log10_mm2,ciliates_MaL_mm,ciliates_MiL_mm
23,2019-04-05,95.0,NA,0.0083333333333333,-2.91604029600449,0.0020833333333333,-1.65133958950784,0.0025,-3.1141504419167,0.323055555555555,-3.33079428267364,0.0448611111111111,-3.83895730770746,0.0409027777777778,-3.7306760530959,0.0233333333333333,-0.432410927255571,1.09892596512709,0.605473554073751,0.0132638888888889,-3.25764641894821,0.029621319895288,0.0251750668586387
24,2019-04-06,96.0,NA,0.0066666666666666,-2.96807055823937,0.0016666666666666,-1.45844808751444,0.0016666666666666,-3.07029244953983,0.247013888888889,-3.32587618524431,0.0590277777777778,-3.84072507480813,0.0372222222222222,-3.73905212889339,0.02625,-0.589327058007716,0.959518499706254,0.497099194370475,0.0111111111111111,-3.26479100346559,0.0298661260625,0.025104596125
25,2019-04-07,97.0,NA,0.005,-2.5130640819345,0.0008333333333333,-1.61898930697405,0.0027083333333333,-3.08054638718172,0.184861111111111,-3.32002922248588,0.0613888888888889,-3.84040785682116,0.0315972222222222,-3.74208426928903,0.035,-0.461703142964002,1.04164785391977,0.568399166298219,0.0108333333333333,-3.27355507498595,0.0293182215384616,0.0248976901923077
26,2019-04-08,98.0,NA,0.00625,-2.84685566818531,0.0004166666666666,-1.87488714621262,0.0031944444444444,-3.01679727264979,0.215069444444444,-3.31938259716811,0.0501388888888889,-3.83994879462426,0.0335416666666667,-3.75617488326902,0.01375,-0.612859670149088,0.909317906656004,0.495743552921725,0.0095138888888888,-3.19644607534003,0.0328585124087591,0.027448180729927
27,2019-04-09,99.0,NA,0.0058333333333333,-2.81831179155502,0.0004166666666666,-1.30902572374008,0.001875,-3.14215530695877,0.236041666666667,-3.32263116769871,0.0429166666666667,-3.83601595145768,0.0319444444444444,-3.75926433376673,0.0133333333333333,-0.434281993407574,1.08444711686472,0.529022938019495,0.0092361111111111,-3.29121359166459,0.0289357027067669,0.0239105577443609
28,2019-04-10,100.0,NA,0.0129166666666667,-2.82266051148453,0.0025,-1.81679091433062,0.0023611111111111,-3.15633294303582,0.294305555555556,-3.32910750827527,0.0557638888888889,-3.84388494591196,0.0323611111111111,-3.74646487319973,0.0175,-0.53149436455128,0.963686643819838,0.469433110589597,0.0086111111111111,-3.25055469176894,0.0295334999193549,0.0248419412096774
29,2019-04-11,101.0,NA,0.0058333333333333,-2.87103577580387,0.0008333333333333,-1.82137695992222,0.0022916666666666,-3.12016958634494,0.245347222222222,-3.32604738153419,0.0359027777777778,-3.8345254168143,0.0267361111111111,-3.74347892437265,0.0125,-0.631343995839687,0.885138995485479,0.45383343499718,0.0065277777777777,-3.1973938039957,0.0345891107446808,0.0277841502127659
30,2019-04-12,102.0,NA,0.005,-2.88366802455637,0.0016666666666666,-1.50326043193081,0.0027777777777777,-3.11314013479761,0.223055555555555,-3.32558203013467,0.0346527777777778,-3.8388729622372,0.0253472222222222,-3.75277706089647,0.0225,-0.541083916801436,1.03889661580992,0.519314122166363,0.0054861111111111,-3.22111394010899,0.0323866808860759,0.0262699926582279
31,2019-04-13,103.0,NA,0.00375,-2.82523908057642,0.00125,-1.7099232232886,0.0025,-3.12803719169094,0.140486111111111,-3.31890697866519,0.0431944444444444,-3.8427783569884,0.0225694444444444,-3.73150194939907,0.01875,-0.483889860813297,1.02153406373937,0.566714773931704,0.00375,-3.25245018285415,0.0311683440740741,0.0251412362962963
32,2019-04-14,104.0,NA,0.0033333333333333,-2.88894195876276,0.0008333333333333,-1.72768765978886,0.0032638888888888,-3.03956856994566,0.145486111111111,-3.3210192008096,0.036875,-3.84150608078469,0.0193055555555556,-3.74899839197868,0.0141666666666667,-0.49334202768663,1.04976920566539,0.537144257014233,0.0040972222222222,-3.20335114983285,0.0318230525423729,0.0269963601694915
