,Julian day,PhyBiom,Sw,ZooBiom
0,72.0,0.0,,0.0
1,73.0,0.0,,0.0
2,74.0,0.0,,0.0
3,75.0,0.0,,0.0
4,76.0,0.0,,0.0
5,77.0,0.0,,0.0
6,78.0,0.0,,0.0
7,79.0,0.0,,0.0
8,80.0,0.0,,0.0
9,81.0,0.0,,0.0
10,82.0,0.0,,0.0
11,83.0,0.0,,0.0
12,84.0,0.0,,0.0
13,85.0,0.08829921885768073,5388.677645798787,0.10717580038692659
14,86.0,0.12613880966830002,6194.996465048912,0.09709739400494749
15,87.0,0.05829723002845536,5391.605711868365,0.08509229182368419
16,88.0,0.07883101738761789,4697.5729759991345,0.07668687085650329
17,89.0,0.27297401928758636,3656.66049172207,0.09843149423732968
18,90.0,0.35801683245140503,4206.518145173809,0.06711906027411002
19,91.0,0.13541385456623894,4304.409622887012,0.08435907996611802
20,92.0,0.1847891644333936,6139.193704313634,0.08209702053162062
21,93.0,0.14815113137821137,10588.523337228977,0.1012107445205318
22,94.0,0.06210708232040927,4178.632232789555,0.09908339431520523
23,95.0,0.12532193117754156,6221.780382149712,0.09698545689686755
24,96.0,0.08897114620707934,14431.557285079984,0.0726597244917278
25,97.0,0.061386334542859196,6945.078860607909,0.09642588838771053
26,98.0,0.07448993719273037,3978.4309171572827,0.0534818724018393
27,99.0,0.08303416449416558,14021.576170490642,0.057000403399906696
28,100.0,0.11076945486164204,4764.091601202225,0.05196185602728027
29,101.0,0.0859621443456522,4257.741848989726,0.03891587028920217
30,102.0,0.07581014446135026,13212.467348104527,0.06166706872832649
31,103.0,0.04166779902915317,7358.145934941471,0.04693891282814616
32,104.0,0.04301386964719529,6037.792105671665,0.04412094146995784
33,105.0,0.049446629185836644,3552.3206361103644,0.08332932197968296
34,106.0,0.042458408983798115,13595.900402716863,0.1344244302441952
35,107.0,0.04910843991368103,3444.722192212904,0.05216166626956013
36,108.0,0.04162559957426324,19989.620866718367,0.046294396031972884
37,109.0,0.02322783415708521,11649.725755288851,0.09540902676349315
38,110.0,0.02324454474015744,408727.0366443569,0.03776010072481454
39,111.0,0.015714753763568255,453230.93630814727,0.04230633380058278
40,112.0,0.014961543705902072,29002.811398673588,0.06995894689684581
41,113.0,0.010730909122155127,26354.623523787814,0.11031775330205236
42,114.0,0.006843188686749185,11929.840622973496,0.14289945150365638
43,115.0,0.01040306479727907,24394.951438270884,0.18380181141308716
44,116.0,0.012586796365604527,8476.849553952394,0.15362793690773996
45,117.0,0.010010002110089258,16657.189148490543,0.061667285725039815
46,118.0,0.012655323849696117,8086.25440421418,0.10198622048770727
47,119.0,0.013038894210930685,12640.182189698482,0.12397779540375387
48,120.0,0.010765188564656082,4512.300624392647,0.04692375393817885
49,121.0,0.00576696176769357,14961.169884352259,0.13472507169689352
50,122.0,0.005981832056977559,311062.63229522674,0.1640123165988191
51,123.0,0.005581689042068845,26370.958548987284,0.13056926833743754
52,124.0,0.007442507661017657,218556.5377712446,0.09571686651641609
53,125.0,0.006291028769482375,3291.9629511474072,0.11273446903432853
54,126.0,0.009303499967917522,22560.838298858507,0.0795656706395341
55,127.0,0.008749746536133307,18945.7354240663,0.10476515512297185
56,128.0,0.009253557504381272,48196.26520270838,0.07907782170022017
57,129.0,0.009359026678184163,15921.612465331697,0.13258548036399515
58,130.0,0.009725818395200059,3265.809303721033,0.13241887970263208
59,131.0,0.011556333041498454,11408.776949427527,0.15401525885165968
60,132.0,0.010863267079252876,23729.929293228364,0.08986633821644334
61,133.0,0.013379675434877608,21336.50793759499,0.09989090588341447
62,134.0,0.013739637090859798,33342.13134721991,0.10577007953054615
63,135.0,0.014133867471840852,36101.470973590694,0.09767272735300553
64,136.0,0.01577091140853842,17619.694925938555,0.1399615138295948
65,137.0,0.02020554627308464,18895.19522476335,0.07873142993005476
66,138.0,0.019888620346977005,14135.765440758301,0.0593449569483261
67,139.0,0.016035098249400172,77103.68526852125,0.10947275952990473
68,140.0,0.024980599748065543,46191.04309397282,0.054857454862610795
69,141.0,0.021674611865978917,250142.18700036337,0.15086084577879766
70,142.0,0.01685694529541889,8503.855101869274,0.05175395823960071
71,143.0,0.021722943658403954,12288.121523664038,0.05821361409615122
72,144.0,0.021801190936757895,9579.660150957925,0.13229027079184055
73,145.0,0.02343154969243443,6575.926198052256,0.09936817064244464
74,146.0,0.045215653537297326,63628.49801501182,0.06255277004069322
75,147.0,0.036725260366466894,9453.147609575575,0.06853701109344366
76,148.0,0.04455902684845798,2422748.825641817,0.13117729523673669
77,149.0,0.02911242321195001,78932.04468423332,0.11147953096575054
78,150.0,0.024766015284461353,702491.9303472776,0.15790785973749216
79,151.0,0.02649496652807544,245754.2297304551,0.10939275423869378
80,152.0,0.02783676102506091,457888.4135484953,0.18324840979324258
81,153.0,0.02134091567112698,891919.9329224097,0.11309492404102223
82,154.0,0.03633649651421232,3270396.1674099606,0.19939911916342862
83,155.0,0.04196840110235075,3594200.668609422,0.26597265966242806
84,156.0,0.05368242862735974,3405956.651982506,0.2612483618774012
85,157.0,0.06301386474292305,3915688.871719356,0.26638921150119027
86,158.0,0.09714231626148387,5168631.357201288,0.2024744949379238
87,159.0,0.149899530101623,6877836.017153976,0.21821086971217848
88,160.0,0.12988040781711932,6159463.214864304,0.3897479924632825
89,161.0,0.1210592455801472,5112396.751286972,0.206661148614731
90,162.0,0.14050681644252117,5415647.975798716,0.1851941461914511
91,163.0,0.10888583438571109,4953615.3076798,0.14920377067613014
92,164.0,0.1275637405284339,5082237.321996758,0.1347630120799828
