0.000000000000000000e+00,2.500000000000000000e+01
3.200000000000000000e+01,2.500000000000000000e+01
6.500000000000000000e+01,2.500000000000000000e+01
7.800000000000000000e+01,5.000000000000000000e+00
1.210000000000000000e+02,6.000000000000000000e+00
1.520000000000000000e+02,7.000000000000000000e+00
1.820000000000000000e+02,8.000000000000000000e+00
2.130000000000000000e+02,9.000000000000000000e+00
2.440000000000000000e+02,1.000000000000000000e+01
2.740000000000000000e+02,1.100000000000000000e+01
3.050000000000000000e+02,1.200000000000000000e+01
3.410000000000000000e+02,2.000000000000000000e+01
3.450000000000000000e+02,2.500000000000000000e+01
3.650000000000000000e+02,2.500000000000000000e+01
